Order,Species,Description of reservoir status,Reference,conservative,liberal,No evidence ,
Carnivora,Acinonyx jubatus,,,0,0,1,
Carnivora,Ailuropoda melanoleuca,,,0,0,1,
Carnivora,Ailurus fulgens,,,0,0,1,
Carnivora,Aonyx capensis,,,0,0,1,
Carnivora,Aonyx cinerea,,,0,0,1,
Carnivora,Arctictis binturong,,,0,0,1,
Carnivora,Arctocephalus australis,,,0,0,1,
Carnivora,Arctocephalus forsteri,,,0,0,1,
Carnivora,Arctocephalus galapagoensis,,,0,0,1,
Carnivora,Arctocephalus gazella,,,0,0,1,
Carnivora,Arctocephalus philippii,,,0,0,1,
Carnivora,Arctocephalus pusillus,,,0,0,1,
Carnivora,Arctocephalus townsendi,,,0,0,1,
Carnivora,Arctocephalus tropicalis,,,0,0,1,
Carnivora,Arctogalidia trivirgata,,,0,0,1,
Carnivora,Arctonyx collaris,,,0,0,1,
Carnivora,Atelocynus microtis,,,0,0,1,
Carnivora,Bassaricyon alleni,,,0,0,1,
Carnivora,Bassaricyon beddardi,,,0,0,1,
Carnivora,Bassaricyon gabbii,,,0,0,1,
Carnivora,Bassaricyon lasius,,,0,0,1,
Carnivora,Bassaricyon pauli,,,0,0,1,
Carnivora,Bassariscus astutus,,,0,0,1,
Carnivora,Bassariscus sumichrasti,,,0,0,1,
Carnivora,Bdeogale crassicauda,,,0,0,1,
Carnivora,Bdeogale jacksoni,,,0,0,1,
Carnivora,Bdeogale nigripes,,,0,0,1,
Carnivora,Callorhinus ursinus,,,0,0,1,
Carnivora,Canis simensis,,,0,0,1,
Carnivora,Caracal caracal,,,0,0,1,
Carnivora,Catopuma badia,,,0,0,1,
Carnivora,Catopuma temminckii,,,0,0,1,
Carnivora,Chrotogale owstoni,,,0,0,1,
Carnivora,Chrysocyon brachyurus,,,0,0,1,
Carnivora,Conepatus chinga,,,0,0,1,
Carnivora,Conepatus humboldtii,,,0,0,1,
Carnivora,Conepatus leuconotus,,,0,0,1,
Carnivora,Conepatus semistriatus,,,0,0,1,
Carnivora,Crossarchus alexandri,,,0,0,1,
Carnivora,Crossarchus ansorgei,,,0,0,1,
Carnivora,Crossarchus obscurus,,,0,0,1,
Carnivora,Cryptoprocta ferox,,,0,0,1,
Carnivora,Cuon alpinus,,,0,0,1,
Carnivora,Cynogale bennettii,,,0,0,1,
Carnivora,Cystophora cristata,,,0,0,1,
Carnivora,Diplogale hosei,,,0,0,1,
Carnivora,Dologale dybowskii,,,0,0,1,
Carnivora,Dusicyon australis,,,0,0,1,
Carnivora,Eira barbara,,,0,0,1,
Carnivora,Enhydra lutris,,,0,0,1,
Carnivora,Erignathus barbatus,,,0,0,1,
Carnivora,Eumetopias jubatus,,,0,0,1,
Carnivora,Eupleres goudotii,,,0,0,1,
Carnivora,Felis bieti,,,0,0,1,
Carnivora,Felis catus,,,0,0,1,
Carnivora,Felis chaus,,,0,0,1,
Carnivora,Felis manul,,,0,0,1,
Carnivora,Felis margarita,,,0,0,1,
Carnivora,Felis nigripes,,,0,0,1,
Carnivora,Felis silvestris,,,0,0,1,
Carnivora,Fossa fossana,,,0,0,1,
Carnivora,Galerella flavescens,,,0,0,1,
Carnivora,Galerella ochracea,,,0,0,1,
Carnivora,Galerella pulverulenta,,,0,0,1,
Carnivora,Galictis cuja,,,0,0,1,
Carnivora,Galictis vittata,,,0,0,1,
Carnivora,Galidia elegans,,,0,0,1,
Carnivora,Galidictis fasciata,,,0,0,1,
Carnivora,Galidictis grandidieri,,,0,0,1,
Carnivora,Genetta abyssinica,,,0,0,1,
Carnivora,Genetta angolensis,,,0,0,1,
Carnivora,Genetta cristata,,,0,0,1,
Carnivora,Genetta genetta,,,0,0,1,
Carnivora,Genetta johnstoni,,,0,0,1,
Carnivora,Genetta maculata,,,0,0,1,
Carnivora,Genetta pardina,,,0,0,1,
Carnivora,Genetta piscivora,,,0,0,1,
Carnivora,Genetta servalina,,,0,0,1,
Carnivora,Genetta thierryi,,,0,0,1,
Carnivora,Genetta tigrina,,,0,0,1,
Carnivora,Genetta victoriae,,,0,0,1,
Carnivora,Gulo gulo,,,0,0,1,
Carnivora,Halichoerus grypus,,,0,0,1,
Carnivora,Helarctos malayanus,,,0,0,1,
Carnivora,Helogale hirtula,,,0,0,1,
Carnivora,Helogale parvula,,,0,0,1,
Carnivora,Hemigalus derbyanus,,,0,0,1,
Carnivora,Herpestes brachyurus,,,0,0,1,
Carnivora,Herpestes edwardsi,,,0,0,1,
Carnivora,Herpestes fuscus,,,0,0,1,
Carnivora,Herpestes ichneumon,,,0,0,1,
Carnivora,Herpestes naso,,,0,0,1,
Carnivora,Herpestes semitorquatus,,,0,0,1,
Carnivora,Herpestes smithii,,,0,0,1,
Carnivora,Herpestes urva,,,0,0,1,
Carnivora,Herpestes vitticollis,,,0,0,1,
Carnivora,Histriophoca fasciata,,,0,0,1,
Carnivora,Hyaena brunnea,,,0,0,1,
Carnivora,Hyaena hyaena,,,0,0,1,
Carnivora,Hydrictis maculicollis,,,0,0,1,
Carnivora,Hydrurga leptonyx,,,0,0,1,
Carnivora,Ichneumia albicauda,,,0,0,1,
Carnivora,Ictonyx libyca,,,0,0,1,
Carnivora,Ictonyx striatus,,,0,0,1,
Carnivora,Leopardus braccatus,,,0,0,1,
Carnivora,Leopardus colocolo,,,0,0,1,
Carnivora,Leopardus geoffroyi,,,0,0,1,
Carnivora,Leopardus guigna,,,0,0,1,
Carnivora,Leopardus jacobitus,,,0,0,1,
Carnivora,Leopardus pajeros,,,0,0,1,
Carnivora,Leopardus pardalis,,,0,0,1,
Carnivora,Leopardus tigrinus,,,0,0,1,
Carnivora,Leopardus wiedii,,,0,0,1,
Carnivora,Leptailurus serval,,,0,0,1,
Carnivora,Leptonychotes weddellii,,,0,0,1,
Carnivora,Liberiictis kuhni,,,0,0,1,
Carnivora,Lobodon carcinophaga,,,0,0,1,
Carnivora,Lontra canadensis,,,0,0,1,
Carnivora,Lontra felina,,,0,0,1,
Carnivora,Lontra longicaudis,,,0,0,1,
Carnivora,Lontra provocax,,,0,0,1,
Carnivora,Lutra lutra,,,0,0,1,
Carnivora,Lutra nippon,,,0,0,1,
Carnivora,Lutra sumatrana,,,0,0,1,
Carnivora,Lutrogale perspicillata,,,0,0,1,
Carnivora,Lycalopex culpaeus,,,0,0,1,
Carnivora,Lycalopex fulvipes,,,0,0,1,
Carnivora,Lycalopex griseus,,,0,0,1,
Carnivora,Lycalopex gymnocercus,,,0,0,1,
Carnivora,Lycaon pictus,,,0,0,1,
Carnivora,Lyncodon patagonicus,,,0,0,1,
Carnivora,Lynx canadensis,,,0,0,1,
Carnivora,Lynx lynx,,,0,0,1,
Carnivora,Lynx pardinus,,,0,0,1,
Carnivora,Lynx rufus,,,0,0,1,
Carnivora,Macrogalidia musschenbroekii,,,0,0,1,
Carnivora,Martes americana,,,0,0,1,
Carnivora,Martes flavigula,,,0,0,1,
Carnivora,Martes foina,,,0,0,1,
Carnivora,Martes gwatkinsii,,,0,0,1,
Carnivora,Martes martes,,,0,0,1,
Carnivora,Martes melampus,,,0,0,1,
Carnivora,Martes pennanti,,,0,0,1,
Carnivora,Martes zibellina,,,0,0,1,
Carnivora,Meles meles,,,0,0,1,
Carnivora,Mellivora capensis,,,0,0,1,
Carnivora,Melogale everetti,,,0,0,1,
Carnivora,Melogale orientalis,,,0,0,1,
Carnivora,Melogale personata,,,0,0,1,
Carnivora,Melursus ursinus,,,0,0,1,
Carnivora,Mephitis macroura,,,0,0,1,
Carnivora,Mirounga angustirostris,,,0,0,1,
Carnivora,Mirounga leonina,,,0,0,1,
Carnivora,Monachus monachus,,,0,0,1,
Carnivora,Monachus schauinslandi,,,0,0,1,
Carnivora,Monachus tropicalis,,,0,0,1,
Carnivora,Mungos gambianus,,,0,0,1,
Carnivora,Mungos mungo,,,0,0,1,
Carnivora,Mungotictis decemlineata,,,0,0,1,
Carnivora,Mustela africana,,,0,0,1,
Carnivora,Mustela altaica,,,0,0,1,
Carnivora,Mustela erminea,,,0,0,1,
Carnivora,Mustela eversmanii,,,0,0,1,
Carnivora,Mustela felipei,,,0,0,1,
Carnivora,Mustela frenata,,,0,0,1,
Carnivora,Mustela itatsi,,,0,0,1,
Carnivora,Mustela kathiah,,,0,0,1,
Carnivora,Mustela lutreola,,,0,0,1,
Carnivora,Mustela lutreolina,,,0,0,1,
Carnivora,Mustela nigripes,,,0,0,1,
Carnivora,Mustela nivalis,,,0,0,1,
Carnivora,Mustela nudipes,,,0,0,1,
Carnivora,Mustela putorius,,,0,0,1,
Carnivora,Mustela sibirica,,,0,0,1,
Carnivora,Mustela strigidorsa,,,0,0,1,
Carnivora,Mustela subpalmata,,,0,0,1,
Carnivora,Mydaus javanensis,,,0,0,1,
Carnivora,Mydaus marchei,,,0,0,1,
Carnivora,Nandinia binotata,,,0,0,1,
Carnivora,Nasua nasua,,,0,0,1,
Carnivora,Nasuella olivacea,,,0,0,1,
Carnivora,Neofelis nebulosa,,,0,0,1,
Carnivora,Neophoca cinerea,,,0,0,1,
Carnivora,Neovison vison,,,0,0,1,
Carnivora,Odobenus rosmarus,,,0,0,1,
Carnivora,Ommatophoca rossii,,,0,0,1,
Carnivora,Otaria flavescens,,,0,0,1,
Carnivora,Pagophilus groenlandicus,,,0,0,1,
Carnivora,Paguma larvata,,,0,0,1,
Carnivora,Panthera leo,,,0,0,1,
Carnivora,Panthera onca,,,0,0,1,
Carnivora,Panthera pardus,,,0,0,1,
Carnivora,Panthera tigris,,,0,0,1,
Carnivora,Paracynictis selousi,,,0,0,1,
Carnivora,Paradoxurus hermaphroditus,,,0,0,1,
Carnivora,Paradoxurus jerdoni,,,0,0,1,
Carnivora,Pardofelis marmorata,,,0,0,1,
Carnivora,Phoca largha,,,0,0,1,
Carnivora,Phoca vitulina,,,0,0,1,
Carnivora,Phocarctos hookeri,,,0,0,1,
Carnivora,Poecilogale albinucha,,,0,0,1,
Carnivora,Poiana leightoni,,,0,0,1,
Carnivora,Poiana richardsonii,,,0,0,1,
Carnivora,Prionailurus bengalensis,,,0,0,1,
Carnivora,Prionailurus iriomotensis,,,0,0,1,
Carnivora,Prionailurus planiceps,,,0,0,1,
Carnivora,Prionailurus rubiginosus,,,0,0,1,
Carnivora,Prionailurus viverrinus,,,0,0,1,
Carnivora,Prionodon linsang,,,0,0,1,
Carnivora,Prionodon pardicolor,,,0,0,1,
Carnivora,Procyon cancrivorus,,,0,0,1,
Carnivora,Procyon pygmaeus,,,0,0,1,
Carnivora,Profelis aurata,,,0,0,1,
Carnivora,Proteles cristata,,,0,0,1,
Carnivora,Pteronura brasiliensis,,,0,0,1,
Carnivora,Puma concolor,,,0,0,1,
Carnivora,Puma yagouaroundi,,,0,0,1,
Carnivora,Pusa caspica,,,0,0,1,
Carnivora,Pusa hispida,,,0,0,1,
Carnivora,Pusa sibirica,,,0,0,1,
Carnivora,Rhynchogale melleri,,,0,0,1,
Carnivora,Salanoia concolor,,,0,0,1,
Carnivora,Speothos venaticus,,,0,0,1,
Carnivora,Spilogale gracilis,,,0,0,1,
Carnivora,Spilogale pygmaea,,,0,0,1,
Carnivora,Taxidea taxus,,,0,0,1,
Carnivora,Tremarctos ornatus,,,0,0,1,
Carnivora,Uncia uncia,,,0,0,1,
Carnivora,Urocyon littoralis,,,0,0,1,
Carnivora,Ursus americanus,,,0,0,1,
Carnivora,Ursus arctos,,,0,0,1,
Carnivora,Ursus maritimus,,,0,0,1,
Carnivora,Ursus thibetanus,,,0,0,1,
Carnivora,Viverra civettina,,,0,0,1,
Carnivora,Viverra megaspila,,,0,0,1,
Carnivora,Viverra tangalunga,,,0,0,1,
Carnivora,Viverra zibetha,,,0,0,1,
Carnivora,Viverricula indica,,,0,0,1,
Carnivora,Vormela peregusna,,,0,0,1,
Carnivora,Vulpes bengalensis,,,0,0,1,
Carnivora,Vulpes cana,,,0,0,1,
Carnivora,Vulpes chama,,,0,0,1,
Carnivora,Vulpes ferrilata,,,0,0,1,
Carnivora,Vulpes macrotis,,,0,0,1,
Carnivora,Vulpes pallida,,,0,0,1,
Carnivora,Vulpes rueppellii,,,0,0,1,
Carnivora,Vulpes velox,,,0,0,1,
Carnivora,Vulpes zerda,,,0,0,1,
Carnivora,Zalophus californianus,,,0,0,1,
Carnivora,Civettictis civetta,,,0,0,1,
Carnivora,Atilax paludinosus,"virus isolation + described as playing a role in transmission (""Felis lybica, Atilax paludinosus and Suricata suricatta, could be involved in transmitting rabies to and from O. megalotis via inter-species interactions."")",Sabeta et al 2007,0,1,0,
Carnivora,Crocuta crocuta,described as 'carrier' ,East et al 2001,0,1,0,
Carnivora,Paradoxurus zeylonensis,"RABV variant, but authors are uncertain on reservoir status",Matsumoto et al 2011,0,1,0,
Carnivora,Suricata suricatta,"virus isolation + described as playing a role in transmission (""Felis lybica, Atilax paludinosus and Suricata suricatta, could be involved in transmitting rabies to and from O. megalotis via inter-species interactions."")",Sabeta et al 2007,0,1,0,
Carnivora,Lycalopex sechurae,,Velasco-Villa et al. (2017) Antiviral Research,1,1,0,
Carnivora,Potos flavus,reservoir + virus variant,Velasco-Villa et al. (2017) Antiviral Research,1,1,0,
Carnivora,Nasua narica,rabies variant but no other evidence,Arechiga-Ceballos et al 2010,1,1,0,
Carnivora,Canis adustus,"can sustain rabies cycles, but this is debatable (see Haydon et al 2002)",Bingham et al 1999; but see Rhodes et al 1998,1,1,0,
Carnivora,Canis aureus,rabies isolation + considered maintenance host in middle East,"Jackson, 2013, table e4.5; Slate et al. 2009",1,1,0,
Carnivora,Canis latrans,dog rabies variant maintained in coyotes,Krebs et al. (2003); Blanton et al. (2007),1,1,0,
Carnivora,Canis lupus,virus variant + described as maintenance (but depends on pop density in area),Kuzmin et al 2004; Jackson 2013,1,1,0,
Carnivora,Canis mesomelas,rabies variant + described as maintenance host,"Bingham 2005, Zulu et al 2009",1,1,0,
Carnivora,Cerdocyon thous,rabies variant + described as reservoir,Favoretto etal 2006; Carneili et al 2009; Rocha et al 2015,1,1,0,
Carnivora,Cynictis penicillata,virus variant + described as reservoir,Von Teishman 1995; Swanepoel 2005; Nel et al 2005; Van Syl 2010,1,1,0,
Carnivora,Galerella sanguinea,virus variant + described as reservoir,"Foggin 1988; Swanepoel et al 1993; Nel et al 2001, 2005",1,1,0,
Carnivora,Herpestes javanicus,reservoir,"Jackson, 2013, table e4.5; Zieger et al. (2014); Everard et al. (1988)",1,1,0,
Carnivora,Lycalopex vetulus,rabies variant + described as reservoir,"Bernardi et al 2007; Carnieli et al., 2008; Rocha et al. (2015)",1,1,0,
Carnivora,Melogale moschata,virus variant + described as reservoir,"Jackson, 2013, table e4.5; Li et al. 2010, Zhang et al. (2013) Virologica Sinica",1,1,0,
Carnivora,Mephitis mephitis,reservoir,"Jackson, 2013, table e4.5; MacInnes et al. 2001; Slate et al. 2009",1,1,0,
Carnivora,Nyctereutes procyonoides,"virus variant, maintenance host, primary carrier, vector","Jackson, 2013, table e4.5; Shao et al. 2011; Cherkasskiy 1988",1,1,0,
Carnivora,Otocyon megalotis,virus variant + described as reservoir,"Sabeta et al 2007; Rupprecht et al. 2008, East et al 2001",1,1,0,
Carnivora,Procyon lotor,reservoir,"Jackson, 2013, table e4.5; MacInnes et al. 2001; Slate et al. (2009) PLOS NTD; Blanton et al. (2011) Journal of the American Veterinary Medical Association",1,1,0,
Carnivora,Spilogale putorius,rabies variant + described as reservoir,"Velasco-Villa et al 2005; Jackson, 2013",1,1,0,
Carnivora,Urocyon cinereoargenteus,reservoir,"Jackson, 2013, table e4.5; Slate et al. 2009",1,1,0,
Carnivora,Vulpes corsac,rabies variant + participates in maintenance,Kuzmin et al 2004; Gruzdev 2008; Botvinkin et al. 2008,1,1,0,
Carnivora,Vulpes lagopus,virus variant + described as reservoir," King AA, WHO (2004); Jackson, 2013, table e4.5; Slate et al. 2009; Hanke et al. (2016)",1,1,0,
Carnivora,Vulpes vulpes,reservoir,"Jackson, 2013, table e4.5; MacInnes et al. 2001; Slate et al. 2009; Vos et al. 2009; Seimenis 2008; Cliquet et al. (2014)",1,1,0,
,,,,,,,
,,,,,,,
